#NUM	NAME	MIN	MEAN
1	dgen           	      0.00 	      0.01
1	dgen_4threads  	      0.00 	      0.00
1	naive_printf   	      0.00 	      0.00
1	naive_cppstream	      0.00 	      0.00
10	dgen           	      0.00 	      0.01
10	dgen_4threads  	      0.00 	      0.01
10	naive_printf   	      0.00 	      0.00
10	naive_cppstream	      0.00 	      0.00
100	dgen           	      0.00 	      0.01
100	dgen_4threads  	      0.00 	      0.00
100	naive_printf   	      0.00 	      0.00
100	naive_cppstream	      0.00 	      0.00
1000	dgen           	      0.00 	      0.01
1000	dgen_4threads  	      0.00 	      0.00
1000	naive_printf   	      0.00 	      0.00
1000	naive_cppstream	      0.00 	      0.00
10000	dgen           	      0.00 	      0.01
10000	dgen_4threads  	      0.00 	      0.01
10000	naive_printf   	      0.00 	      0.00
10000	naive_cppstream	      0.00 	      0.01
100000	dgen           	      0.01 	      0.01
100000	dgen_4threads  	      0.03 	      0.03
100000	naive_printf   	      0.02 	      0.02
100000	naive_cppstream	      0.02 	      0.02
1000000	dgen           	      0.06 	      0.07
1000000	dgen_4threads  	      0.04 	      0.05
1000000	naive_printf   	      0.15 	      0.15
1000000	naive_cppstream	      0.18 	      0.18
10000000	dgen           	      0.57 	      0.58
10000000	dgen_4threads  	      0.22 	      0.24
10000000	naive_printf   	      1.45 	      1.45
10000000	naive_cppstream	      1.51 	      1.66
100000000	dgen           	      5.72 	      5.73
100000000	dgen_4threads  	      2.06 	      2.19
100000000	naive_printf   	     14.42 	     14.44
100000000	naive_cppstream	     14.00 	     14.42
