#NUM	NAME	MIN	MEAN
100000	dgen           	      0.01 	      0.01
100000	dgen_4threads  	      0.03 	      0.03
100000	naive_printf   	      0.02 	      0.02
100000	naive_cppstream	      0.02 	      0.02
100000	lut_printf     	      0.01 	      0.02
1000000	dgen           	      0.04 	      0.05
1000000	dgen_4threads  	      0.04 	      0.05
1000000	naive_printf   	      0.15 	      0.15
1000000	naive_cppstream	      0.18 	      0.19
1000000	lut_printf     	      0.11 	      0.11
10000000	dgen           	      0.37 	      0.38
10000000	dgen_4threads  	      0.20 	      0.21
10000000	naive_printf   	      1.44 	      1.45
10000000	naive_cppstream	      1.49 	      1.59
10000000	lut_printf     	      1.07 	      1.07
100000000	dgen           	      3.69 	      3.72
100000000	dgen_4threads  	      1.77 	      1.85
100000000	naive_printf   	     14.42 	     14.45
100000000	naive_cppstream	     13.97 	     14.12
100000000	lut_printf     	     10.62 	     10.65
