#THREADS	MIN	MEAN
1	      5.89 	      5.92
2	      3.30 	      3.32
3	      2.20 	      2.47
4	      2.06 	      2.14
5	      1.95 	      2.01
6	      1.76 	      1.84
7	      1.74 	      1.82
8	      1.73 	      1.76
9	      1.61 	      1.67
10	      1.54 	      1.61
11	      1.53 	      1.58
12	      1.44 	      1.50
13	      1.39 	      1.44
14	      1.39 	      1.42
15	      1.34 	      1.39
16	      1.34 	      1.37
17	      1.33 	      1.36
18	      1.32 	      1.35
19	      1.33 	      1.34
20	      1.31 	      1.34
21	      1.32 	      1.33
22	      1.30 	      1.33
23	      1.30 	      1.32
24	      1.29 	      1.31
25	      1.30 	      1.31
26	      1.29 	      1.31
27	      1.28 	      1.30
28	      1.27 	      1.30
29	      1.28 	      1.30
30	      1.29 	      1.31
31	      1.34 	      1.35
32	      1.36 	      1.37
